file_id,line,category,description
Chart-11,275,logic_error,Copy-paste: p1.getPathIterator used for p2 iterator
Chart-11,107,quality_warning,Empty catch block swallows CloneNotSupportedException
Chart-11,110,quality_warning,Redundant code: Shape result = null then return result
Chart-11,256,syntax_style,Javadoc says polygons but method tests GeneralPath
Chart-11,127,code_smell,instanceof chain violates Open/Closed principle
Chart-11,79,code_smell,Utility class not declared final
Math-59,3482,logic_error,Returns b instead of a in float max function
Math-59,3494,quality_warning,File is 3494 lines extremely high complexity
Math-59,126,syntax_style,RECIP_2PI array not declared final
Math-59,147,syntax_style,PI_O_4_BITS array not declared final
Math-59,35,syntax_style,C-style array declaration throughout class
Math-59,40,syntax_style,C-style array declaration EXP_INT_TABLE_B
Math-59,45,syntax_style,C-style array declaration EXP_FRAC_TABLE_A
Math-59,50,syntax_style,C-style array declaration EXP_FRAC_TABLE_B
Math-59,53,syntax_style,C-style array declaration FACT
Math-59,56,syntax_style,C-style array declaration LN_MANT
Math-59,65,syntax_style,C-style array declaration LN_SPLIT_COEF
Math-59,85,syntax_style,C-style array declaration LN_QUICK_COEF
Math-59,98,syntax_style,C-style array declaration LN_HI_PREC_COEF
Math-59,108,syntax_style,C-style array declaration SINE_TABLE_A and similar
Math-59,155,syntax_style,C-style array declaration EIGHTHES
Math-59,248,quality_warning,Magic number 1073741824.0 used repeatedly without constant
Math-59,231,quality_warning,Magic number 20.0 threshold without constant
Math-59,713,quality_warning,Magic numbers in minimax polynomial without documentation
Math-59,1551,quality_warning,Magic number 4503599627370496.0 without constant
Math-59,1566,quality_warning,Magic number 8e298 threshold without constant
Math-59,2824,quality_warning,Pi computed inline rather than named constant
Math-59,3237,logic_error,abs(int) incorrect for Integer.MIN_VALUE overflow
Math-59,3246,logic_error,abs(long) incorrect for Long.MIN_VALUE overflow
Math-59,3255,security,abs(float) does not handle -0.0f correctly
Math-59,3264,security,abs(double) does not handle -0.0 correctly
Math-59,166,syntax_style,Loop variable declared outside loop scope
Math-79,1624,logic_error,int sum overflow in distance squared calculation
Math-79,1623,syntax_style,Inconsistent indentation 6-space vs 8-space
Math-79,1607,security,distance(double[]) no array length equality check
Math-79,1623,security,distance(int[]) no array length equality check
Math-79,1592,security,distance1(int[]) int accumulator can overflow
Math-79,1654,security,distanceInf(int[]) Math.abs overflow for extreme values
Math-79,1577,security,distance1(double[]) no array length validation
Math-79,1639,security,distanceInf(double[]) no array length validation
Math-79,70,quality_warning,FACTORIALS uses lowercase l suffix confusable with 1
Math-79,1663,quality_warning,File 1663 lines very large utility class
Math-80,1135,logic_error,Off-by-one 4*n-1 vs 4*(n-1) in flipIfWarranted
Math-80,1133,quality_warning,Magic number 1.5 threshold without explanation
Math-80,1843,quality_warning,File 1843 lines very high complexity
Math-80,823,quality_warning,processGeneralBlock ~300 lines deep nesting
Math-80,175,syntax_style,Typo assymetric should be asymmetric
Math-80,217,quality_warning,Magic number 10 in epsilon calculation
Math-80,887,quality_warning,Magic number 30 for maxIter
Math-80,1105,quality_warning,Magic number 0.25 in goodStep
Math-80,1101,quality_warning,Magic number 2.0 in epsilon calc
Math-80,64,quality_warning,Magic number 100 in TOLERANCE
Math-80,115,syntax_style,Extra spaces in declaration for alignment
Math-80,61,code_smell,20+ mutable instance fields high coupling low cohesion
Math-80,136,syntax_style,Single-letter field name g non-descriptive
Math-80,240,quality_warning,Magic multiplier 6 in array allocation
Math-75,303,logic_error,getPct(Object) calls getCumPct instead of getPct
Math-75,82,quality_warning,Uses StringBuffer instead of StringBuilder unnecessary sync
Math-75,112,security,addValue does not null-check parameter v
Math-75,232,security,getCount unchecked cast without type check
Math-75,368,security,getCumFreq unchecked cast without null/type check
Math-75,474,security,getCumPct unchecked cast without null/type check
Math-75,541,code_smell,NaturalComparator uses raw type with unchecked cast
Math-75,559,syntax_style,SuppressWarnings on genuinely unsafe cast
Math-75,167,syntax_style,Deprecated method missing @Deprecated annotation
Math-75,381,syntax_style,Incorrect indentation on getCumFreq method
Math-75,578,syntax_style,Inconsistent if-without-braces pattern
Math-75,214,quality_warning,getSumFreq iterates all values every call should cache
Math-75,54,code_smell,TreeMap wildcard generic weakens type safety
Math-41,520,logic_error,Loop iterates from 0 instead of begin parameter
Math-41,75,syntax_style,Protected field moment should be private
Math-41,84,syntax_style,Protected field incMoment should be private
Math-41,179,syntax_style,Inconsistent indentation in getResult
Math-41,69,quality_warning,8 overloaded evaluate methods high API complexity
Math-41,263,quality_warning,Creates new Mean object on every call
Math-41,323,quality_warning,Creates new Mean object on every call
Math-41,416,quality_warning,Variable len is double but represents integer count
Math-41,195,syntax_style,Missing @Override annotation on getN
Math-41,510,quality_warning,Magic number 1.0 as bias correction without explanation
