"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task5_EmailMasker/EmailMasker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task5_EmailMasker/EmailMasker.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task5_EmailMasker/EmailMasker.java","1","2","The static method name 'mask_email' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task6_Personnummer/PersonnummerValidator.java","4","3","Unused import 'java.time.format.DateTimeParseException'","Code Style","UnnecessaryImport"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task6_Personnummer/PersonnummerValidator.java","3","6","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task6_Personnummer/PersonnummerValidator.java","3","6","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task6_Personnummer/PersonnummerValidator.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task6_Personnummer/PersonnummerValidator.java","3","37","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task6_Personnummer/PersonnummerValidator.java","3","39","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task6_Personnummer/PersonnummerValidator.java","4","42","Useless parentheses around `currentYear / 100`.","Code Style","UselessParentheses"
"8","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task6_Personnummer/PersonnummerValidator.java","3","77","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task1_PasswordValidator/PasswordValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task1_PasswordValidator/PasswordValidator.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task1_PasswordValidator/PasswordValidator.java","1","2","The static method name 'is_strong_password' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task1_PasswordValidator/PasswordValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task1_PasswordValidator/PasswordValidator.java","3","9","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task1_PasswordValidator/PasswordValidator.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task1_PasswordValidator/PasswordValidator.java","3","11","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","4","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","4","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","1","14","The static method name 'calculate_total' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","15","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","18","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task3_AnagramChecker/AnagramChecker.java","3","3","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task3_AnagramChecker/AnagramChecker.java","3","3","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task3_AnagramChecker/AnagramChecker.java","1","4","The static method name 'is_anagram' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task3_AnagramChecker/AnagramChecker.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task3_AnagramChecker/AnagramChecker.java","3","7","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"6","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task3_AnagramChecker/AnagramChecker.java","3","8","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"7","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task3_AnagramChecker/AnagramChecker.java","3","10","This if statement can be replaced by `return !{condition} && {elseBranch};`","Design","SimplifyBooleanReturns"
"8","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task3_AnagramChecker/AnagramChecker.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task4_TextCleaner/TextCleaner.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task4_TextCleaner/TextCleaner.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task4_TextCleaner/TextCleaner.java","1","2","The static method name 'clean_text' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task4_TextCleaner/TextCleaner.java","3","3","No need to check for null before an instanceof","Design","SimplifyConditional"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task4_TextCleaner/TextCleaner.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task5_EmailMasker/EmailMasker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task5_EmailMasker/EmailMasker.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task5_EmailMasker/EmailMasker.java","1","2","The static method name 'mask_email' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task5_EmailMasker/EmailMasker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task5_EmailMasker/EmailMasker.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","5","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","5","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","12","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","4","29","Useless parentheses around `currentYear / 100`.","Code Style","UselessParentheses"
"6","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","30","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","31","This statement should have braces","Code Style","ControlStatementBraces"
"8","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","35","This statement should have braces","Code Style","ControlStatementBraces"
"9","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","37","This statement should have braces","Code Style","ControlStatementBraces"
"10","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","39","This statement should have braces","Code Style","ControlStatementBraces"
"11","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","42","This statement should have braces","Code Style","ControlStatementBraces"
"12","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","49","This statement should have braces","Code Style","ControlStatementBraces"
"13","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","55","This statement should have braces","Code Style","ControlStatementBraces"
"14","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject10/Task6_Personnummer/PersonnummerValidator.java","3","61","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task1_PasswordValidator/PasswordValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task1_PasswordValidator/PasswordValidator.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task1_PasswordValidator/PasswordValidator.java","1","2","The static method name 'is_strong_password' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task1_PasswordValidator/PasswordValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task1_PasswordValidator/PasswordValidator.java","4","4","Use one line for each declaration, it enhances code readability.","Best Practices","OneDeclarationPerLine"
"6","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task1_PasswordValidator/PasswordValidator.java","3","7","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task1_PasswordValidator/PasswordValidator.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"8","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task1_PasswordValidator/PasswordValidator.java","3","9","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","4","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","4","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","1","13","The static method name 'calculate_total' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","14","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","16","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","17","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task3_AnagramChecker/AnagramChecker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task3_AnagramChecker/AnagramChecker.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task3_AnagramChecker/AnagramChecker.java","1","2","The static method name 'is_anagram' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task3_AnagramChecker/AnagramChecker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task3_AnagramChecker/AnagramChecker.java","3","4","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"6","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task3_AnagramChecker/AnagramChecker.java","3","5","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"7","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task3_AnagramChecker/AnagramChecker.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"8","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task3_AnagramChecker/AnagramChecker.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"9","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task3_AnagramChecker/AnagramChecker.java","3","10","Avoid assignments in operands","Error Prone","AssignmentInOperand"
"10","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task3_AnagramChecker/AnagramChecker.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task4_TextCleaner/TextCleaner.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task4_TextCleaner/TextCleaner.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task4_TextCleaner/TextCleaner.java","1","2","The static method name 'clean_text' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task4_TextCleaner/TextCleaner.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task4_TextCleaner/TextCleaner.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task5_EmailMasker/EmailMasker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task5_EmailMasker/EmailMasker.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task5_EmailMasker/EmailMasker.java","1","2","The static method name 'mask_email' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task5_EmailMasker/EmailMasker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject11/Task5_EmailMasker/EmailMasker.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task1_PasswordValidator/PasswordValidator.java","4","1","Unused import 'java.util.stream.IntStream'","Code Style","UnnecessaryImport"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task1_PasswordValidator/PasswordValidator.java","3","3","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task1_PasswordValidator/PasswordValidator.java","3","3","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task1_PasswordValidator/PasswordValidator.java","1","4","The static method name 'is_strong_password' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task1_PasswordValidator/PasswordValidator.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","4","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","4","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","1","13","The static method name 'calculate_total' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","14","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task3_AnagramChecker/AnagramChecker.java","4","1","Unused import 'java.util.Arrays'","Code Style","UnnecessaryImport"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task3_AnagramChecker/AnagramChecker.java","3","4","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task3_AnagramChecker/AnagramChecker.java","3","4","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task3_AnagramChecker/AnagramChecker.java","1","5","The static method name 'is_anagram' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task3_AnagramChecker/AnagramChecker.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task4_TextCleaner/TextCleaner.java","3","3","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task4_TextCleaner/TextCleaner.java","3","3","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task4_TextCleaner/TextCleaner.java","1","4","The static method name 'clean_text' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task4_TextCleaner/TextCleaner.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task5_EmailMasker/EmailMasker.java","3","3","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task5_EmailMasker/EmailMasker.java","3","3","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject12/Task5_EmailMasker/EmailMasker.java","1","4","The static method name 'mask_email' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject13/Task1_PasswordValidator/PasswordValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject13/Task1_PasswordValidator/PasswordValidator.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject13/Task1_PasswordValidator/PasswordValidator.java","1","2","The static method name 'is_strong_password' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject13/Task1_PasswordValidator/PasswordValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject13/Task1_PasswordValidator/PasswordValidator.java","3","7","This statement should have braces","Code Style","ControlStatementBraces"
